birthday,height,name,nationality,sportsman_id,weight
443808000000,180,Wilhelm Muller,South_Korea,SM300992047,90
380822400000,183,Salma Khan,Iran,SM474813722,89
468000000000,187,Li Zhang,United_States,SM131850129,99
419356800000,177,Brian Campbell,Malaysia,SM768887078,95
438278400000,190,Albert Adam,Algeria,SM153485033,93
477417600000,190,Hamani Lambo,Pakistan,SM154923768,98
542131200000,191,Amit Kumar,Croatia,SM389756673,75
611679600000,188,Shweta Kumar,Sweden,SM294555647,91
514396800000,179,Francisco Hernandez,Canada,SM206359832,93
551977200000,191,David Adhia,Ukraine,SM397726711,93
434563200000,176,Baby Zhang,Moldova,SM344900800,75
562953600000,171,Wei Zhang,France,SM913889028,70
433526400000,171,Jan Bettens,Papua_New_Guinea,SM118473181,88
535305600000,171,Juliana Silva,China,SM687860620,83
341078400000,188,Đinh Diễm Liên Ha,India,SM325440477,98
388080000000,179,Peng Chen,Netherlands,SM935622941,97
632592000000,191,Djembo Kanam,Nepal,SM212461688,90
420825600000,166,Jun Chen,Namibia,SM458494930,95
521046000000,186,Babar Ahmad,Canada,SM264225459,102
613666800000,183,Ayesha Ahmed,Honduras,SM408122171,74
574963200000,168,John Tembo,Kenya,SM180892043,87
444672000000,187,Li Yang,Chad,SM629792315,87
408816000000,185,Carlos Rodriguez,Mauritius,SM355716384,92
563817600000,178,Deepak Sharma,Mexico,SM107978387,82
448473600000,169,James Bell,Venezuela,SM472224662,79
622656000000,168,Eugenia Popov,Slovakia,SM467054194,84
338486400000,182,Daniel Peretz,Germany,SM396207979,98
398966400000,178,Karan Rao,Russia,SM320603051,81
510163200000,181,Alois Alex,United_States,SM289966554,79
487008000000,168,Anna Hansson,Sweden,SM378485317,77
531763200000,183,Claudia Garcia,Scotland,SM940412127,102
346176000000,171,Rahul Sharma,Liberia,SM193075030,78
480182400000,181,Adolfo Diaz,Senegal,SM669145560,88
539107200000,165,Peng Wang,Poland,SM705454198,99
494956800000,168,Claudio Alessandri,Kenya,SM994495567,86
396028800000,188,Wilhelm Becker,Egypt,SM223388675,77
602956800000,167,Karl Bach,Poland,SM375354506,90
462124800000,166,Yiannis Angello,Bosnia_and_Herzegovina,SM958816301,92
328723200000,170,Reza Hosseini,Rwanda,SM510789686,96
626371200000,182,Tomas Kurková,Democratic_Republic_of_the_Congo,SM412438808,85
353174400000,178,Rahul Sharma,Cambodia,SM768931513,102
562435200000,173,Francisco Rodriguez,Libya,SM539846039,93
580489200000,181,Igor Ivanov,Chad,SM888111715,69
509212800000,167,Li Li,China,SM705792308,69
477331200000,180,Takashi Suzuki,Philippines,SM406491161,70
505238400000,173,Ann Lim,Norway,SM634743830,80
482169600000,189,Ashin Mettacara,Belarus,SM398127656,82
623952000000,166,Alexander G. Tobing,Ethiopia,SM316265849,92
404409600000,165,Kunal Bose,Morocco,SM265531162,73
466099200000,169,Minoru Mori,Yemen,SM576116169,85
335030400000,189,Jun Xu,China,SM381740374,81
409334400000,167,Miriam Bomani,Rwanda,SM318690618,93
541872000000,184,Muhammad Barton,China,SM777988571,82
518713200000,178,Wilson Ribeiro,Ukraine,SM810229604,101
596822400000,167,Ernest B Goenka,Cameroon,SM117067240,95
518454000000,167,Daniel Ivanov,Zambia,SM886023985,78
381513600000,174,John Roy,Germany,SM735710876,88
